Address,Latitude,Longitude
"2108 W 134th St, Los Angeles, CA 90059",33.910385,-118.255466
"18012 Osborne St, Sherwood Forest, CA 91325",34.2334339,-118.5114072
"10028 Wisner Ave, Mission Hills, CA 91345",34.25264231313132,-118.461865989899
"14632 Cohasset St, Van Nuys, CA 91405",34.20655994285715,-118.45210974285715
"5828 Irvine Ave, North Hollywood, CA 91601",34.17635428571428,-118.38544285714286
"446 Rustic Dr, Los Angeles, CA 90065",34.103362,-118.20743
"13154 Community St, Sun Valley, CA 91352",34.223161876620374,-118.41906625000017
"15541 Marilla St, North Hills, CA 91343",34.247428588235294,-118.47108835294118
"4117 Barryknoll Dr, Los Angeles, CA 90065",34.11686613513513,-118.22365305405405
"6620 Callicott Ave, West Hills, CA 91307",34.190584,-118.636465
"19911 Ahwanee Ln, Porter Ranch, CA 91326",34.28315396242081,-118.57027889795664
"2111 S Highland Ave, Los Angeles, CA 90016",34.03810540939597,-118.34759689932885
"8936 W 25th St, Los Angeles, CA 90034",34.038588448979596,-118.3864879387755
"11011 White Oak Ave, Granada Hills, CA 91344",34.27011215789474,-118.51979763157895
"22400 Bessemer St, Woodland Hills, CA 91367",34.180134,-118.614756
"6309 Morella Ave, North Hollywood, CA 91606",34.1761614,-118.3897543
"2402 Edgewater Ter, Los Angeles, CA 90039",34.100857375,-118.26019450000001
"8409 Lookout Mountain Ave, Los Angeles, CA 90046",34.11424553846154,-118.37859407692308
"18261 Sugarman St, Tarzana, CA 91356",34.15927770364223,-118.53088050087656
"743 N June St, Los Angeles, CA 90038",34.084270857142855,-118.33427042857143
"17401 Klee St, Northridge, CA 91325",34.231334,-118.513692
"10639 Blix St, Toluca Lake, CA 91602",34.1567446122449,-118.36305587755102
"5817 W 78th Pl, Westchester, CA 90045",33.968159549999996,-118.38431229423267
"4819 Escobedo Dr, Woodland Hills, CA 91364",34.15754611320397,-118.58943137507414
"4640 Dunas Ln, Tarzana, CA 91356",34.15450981842922,-118.52979719067497
"1023 W Kensington Rd, Los Angeles, CA 90026",34.07306210698596,-118.25758858564545
"7320 Trask Ave, Playa Del Rey, CA 90293",33.954801849999996,-118.44443918009733
"24136 Hillhurst Dr, West Hills, CA 91307",34.20404974281838,-118.65083154822155
"6115 Eileen Ave, Los Angeles, CA 90043",33.9840509,-118.3431110634727
"9274 Warbler Way, Los Angeles, CA 90069",34.09917172796441,-118.39152370415026
Address,40.6254079,-73.9400639
"9143 Noble Ave, North Hills, CA 91343",34.23678175,-118.46112575000001
"3528 E 8th St, Los Angeles, CA 90023",34.01988447826087,-118.20118247826088
"12421 Arbor Pl, Los Angeles, CA 90044",33.919801224489795,-118.28754132653062
"10930 Marklein Ave, Mission Hills, CA 91345",34.2589084,-118.4703602
"14000 Boxwood Pl, Panorama City, CA 91402",34.218542,-118.438334
"416 N Bixel St, Los Angeles, CA 90026",34.06487154545455,-118.25442415151515
"10614 Chalon Rd, Los Angeles, CA 90077",34.08481124344813,-118.4460752550959
"12640 Classics Dr, Granada Hills, CA 91344",34.29755364977782,-118.52571856288141
"8985 Cayuga Ave, Sun Valley, CA 91352",34.23243036992084,-118.39436011687103
"10055 Beachy Ave, Arleta, CA 91331",34.2535949032258,-118.44421570967742
"2476 Coolidge Ave, Los Angeles, CA 90064",34.03095479591837,-118.44149204081633
"8326 Densmore Ave, North Hills, CA 91343",34.22205967346939,-118.478602
"3206 W 43rd Pl, Los Angeles, CA 90008",34.00433522988506,-118.32838640229885
"16656 Tuba St, North Hills, CA 91343",34.25643985858586,-118.49541897979798
"8018 Hesperia Ave, Reseda, CA 91335",34.216067632653065,-118.52620655102041
"4250 Don Carlos Dr, Baldwin Hills, CA 90008",34.00837415077984,-118.3558556211262
"6177 Outlook Ave, Los Angeles, CA 90042",34.11643432922992,-118.18754354509205
"2147 N Eastern Ave, Los Angeles, CA 90032",34.0687790289855,-118.18050772463768
"20340 Superior St, Chatsworth, CA 91311",34.24649651020408,-118.5769437142857
"3840 S Cochran Ave, Baldwin Hills, CA 90008",34.01710311025346,-118.36123264517849
"15012 Valerio St, Van Nuys, CA 91405",34.20473987755102,-118.46027855102041
"5176 Medina Rd, Woodland Hills, CA 91364",34.16217303908058,-118.59941445237054
"15851 Ludlow St, Granada Hills, CA 91344",34.27102202973484,-118.47768403764422
"10036 Sunnybrae Ave, Chatsworth, CA 91311",34.25244795918368,-118.58084110204081
"22301 Gifford St, Canoga Park, CA 91303",34.20520148484848,-118.61241455555556
"11003 Exposition Blvd, Los Angeles, CA 90064",34.036241653061225,-118.4303509387755
"6732 W Hepburn Way, Los Angeles, CA 90038",34.09286530612245,-118.33711875510204
"429 N Spaulding Ave, Los Angeles, CA 90036",34.07883528571429,-118.35745642857142
"1360 Shadowbrook Ter, Harbor City, CA 90710",33.80143610204082,-118.30048444897959
"9038 Cresta Dr, Los Angeles, CA 90035",34.04588527613954,-118.38717628966711
"6133 Orange St, Los Angeles, CA 90048",34.06418854545455,-118.36206588888889
"18145 Rosita St, Tarzana, CA 91356",34.157324295450984,-118.52864734509052
"1007 S Record Ave, Los Angeles, CA 90023",34.0273047,-118.1825742
"3726 Dozier St, Los Angeles, CA 90063",34.04132354159198,-118.18631702670764
"2328 W 2nd St, Los Angeles, CA 90057",34.06675057142857,-118.27330157142858
"248 N Park View St, Los Angeles, CA 90026",34.07057414285715,-118.27236
"9522 Anzac Ave, Los Angeles, CA 90002",33.950189333333334,-118.23732833333332
"8251 S San Pedro St, Los Angeles, CA 90003",33.96443,-118.269611
"8449 Cozycroft Ave, Winnetka, CA 91306",34.2082111,-118.5819459
"252 W Santa Cruz St, San Pedro, CA 90731",33.74426411538462,-118.28300446153847
"10635 Foothill Blvd, Lake View Terrace, CA 91342",34.274574115274326,-118.36242904052864
"4354 Prospect Ave, Los Angeles, CA 90027",34.101716476190475,-118.28483980952382
"14955 Lull St, Van Nuys, CA 91405",34.20943972727273,-118.4581290909091
"20237 Lassen St, Chatsworth, CA 91311",34.25007262626263,-118.57398969696969
"23411 Halldale Ave, Harbor City, CA 90710",33.8124068745608,-118.30276895521529
"4930 Wiota St, Los Angeles, CA 90041",34.136670836734694,-118.19279061224489
"2008 Penmar Ave, Venice, CA 90291",33.999669,-118.454673
"1400 N Coronado St, Los Angeles, CA 90026",34.082832,-118.266606
"1025 W 54th St, Los Angeles, CA 90037",33.99329672727273,-118.29213487878788
"17941 Karen Dr, Encino, CA 91316",34.1554973,-118.5188634
"9767 Sombra Valley Dr, Shadow Hills, CA 91040",34.25258622222222,-118.34461611111111
"10631 Foothill Blvd, Lake View Terrace, CA 91342",34.27457379474925,-118.36232326725406
"1819 Workman St, Lincoln Heights, CA 90031",34.0643454,-118.21419772
"5925 Whitnall Hwy, North Hollywood, CA 91601",34.17865482653061,-118.36438753061225
"1948 S Crest Dr, Los Angeles, CA 90034",34.04418865081411,-118.38820050718279
"1135 S Crest Dr, Los Angeles, CA 90035",34.05642287755102,-118.38790161224489
"7840 W 81st St, Playa Del Rey, CA 90293",33.96166605,-118.43324402842332
"941 N Norman Pl, Los Angeles, CA 90049",34.078231120860266,-118.47923743331786
"4343 Clarissa Ave, Los Angeles, CA 90027",34.10695364705882,-118.28442752941176
"420 N Avenue 64, Los Angeles, CA 90042",34.1117452,-118.1810722
"13322 Berg St, Sylmar, CA 91342",34.2950409,-118.4556633
"9001 Mercedes Ave, Arleta, CA 91331",34.23221576767677,-118.42059685858585
"23351 Sandalwood St, West Hills, CA 91307",34.203753152865715,-118.63718660465476
"10004 Lasaine Ave, Northridge, CA 91325",34.25230942857143,-118.51221065306123
"130 N Catalina St, Los Angeles, CA 90004",34.073305081632654,-118.2953298367347
"5672 Valley Oak Dr, Los Angeles, CA 90068",34.11007876019912,-118.31264302398009
"24649 Calvert St, Woodland Hills, CA 91367",34.1811857,-118.6077185
"1339 N Formosa Ave, Los Angeles, CA 90046",34.09507710204081,-118.34633787755102
"681 Milford St, Los Angeles, CA 90042",34.106645484848485,-118.18035833333333
"2146 Malcolm Ave, Los Angeles, CA 90025",34.04572440816327,-118.43047944897958
"10753 Valley Spring Ln, Toluca Lake, CA 91602",34.146823041666664,-118.36542929166666
"4635 Morella Ave, Valley Village, CA 91607",34.15524063265306,-118.39005969387755
"4760 Brewster Dr, Tarzana, CA 91356",34.157883574876436,-118.54115450961766
"1520 Andalusia Ave, Venice, CA 90291",33.990032040816324,-118.4672190612245
"852 N Occidental Blvd, Los Angeles, CA 90026",34.081219101023535,-118.27304610128273
"1200 Gordon St, Los Angeles, CA 90038",34.092704,-118.319992
"5234 Lemp Ave, Valley Village, CA 91601",34.16555040816326,-118.38436673469388
"3615 Tilden Ave, Los Angeles, CA 90034",34.01767894992922,-118.41785150826817
"1544 N Doheny Dr, Los Angeles, CA 90069",34.099955584309775,-118.38901235979873
"4837 Calhoun Ave, Sherman Oaks, CA 91423",34.1587478,-118.44241121835546
"1837 Beloit Ave, Los Angeles, CA 90025",34.043882530612244,-118.44484997959184
"1221 S Indiana St, East Los Angeles, CA 90023",34.024625,-118.1922876
"2014 W 79th St, Los Angeles, CA 90047",33.96720257142857,-118.31378642857143
"8850 Amboy Ave, Sun Valley, CA 91352",34.22952130612245,-118.39809057142857
"22054 Avenue San Luis, Woodland Hills, CA 91364",34.16588534693877,-118.60713718367347
"1572 238th St, Harbor City, CA 90710",33.80875505634524,-118.30591515686898
"15860 Lahey St, Granada Hills, CA 91344",34.27268929032258,-118.47812161290322
"9735 Baden Ave, Chatsworth, CA 91311",34.2471671807229,-118.61924907228916
"432 W 109th Pl, Los Angeles, CA 90061",33.93641005114566,-118.28133010198555
"2665 S Longwood Ave, Los Angeles, CA 90016",34.031140244897955,-118.35078532653061
"16128 Londelius St, North Hills, CA 91343",34.22925327839386,-118.48273418546881
"20641 Walnut Cir, Porter Ranch, CA 91326",34.2944993998042,-118.58472074957169
"3060 Belden Dr, Los Angeles, CA 90068",34.12385645618417,-118.32143685741508
"10073 Orcas Ave, Shadow Hills, CA 91040",34.25371102040816,-118.36844214285715
"6034 Burwood Ave, Los Angeles, CA 90042",34.12683153507229,-118.18800399258896
"22412 Bessemer St, Woodland Hills, CA 91367",34.18013239153688,-118.61494886935067
"5213 Irvington Pl, Los Angeles, CA 90042",34.11604698118829,-118.2033771737748
"5324 Beeman Ave, Valley Village, CA 91607",34.16698839393939,-118.40726762626262
"13346 W Washington Blvd, Culver City, CA 90066",33.996514,-118.4358303
"5806 LA Mirada Ave, Los Angeles, CA 90038",34.09367881632653,-118.3160098367347
"2429 N Commonwealth Ave, Los Angeles, CA 90027",34.1068752,-118.285243
"16849 Adlon Rd, Encino, CA 91436",34.146658643671316,-118.50004673887642
"1912 S Westgate Ave, Los Angeles, CA 90025",34.036625306122446,-118.45410234693878
"764 W Elberon Ave, San Pedro, CA 90731",33.74841679318098,-118.29414437729446
"11319 Rose Ave, Los Angeles, CA 90066",34.01983523076923,-118.42738369230769
"145 W 115th St, Los Angeles, CA 90061",33.93015610204082,-118.27520548979592
"440 E 91st St, Los Angeles, CA 90003",33.9537858,-118.2651289
"11100 S Normandie Ave, Los Angeles, CA 90044",33.934489,-118.300184
"4502 S Van Ness Ave, Los Angeles, CA 90062",34.00269869346734,-118.31700928140704
"220 W 101st St, Los Angeles, CA 90003",33.94456557142857,-118.27668097959183
"4823 Cimarron St, Los Angeles, CA 90062",33.99966944221105,-118.31611549748743
"5013 5th Ave, Los Angeles, CA 90043",33.99737379396985,-118.32260225125628
"1453 W 88th St, Los Angeles, CA 90047",33.95831169387755,-118.30143114285714
"9439 Lemona Ave, North Hills, CA 91343",34.24159312121212,-118.4588966969697
"1464 S Dunsmuir Ave, Los Angeles, CA 90019",34.047047346938776,-118.35414795918368
"2729 Chadwick Cir, Los Angeles, CA 90032",34.07941905331485,-118.1755293328713
"8043 Newcastle Ave, Reseda, CA 91335",34.1948582,-118.5252997
"7440 Madora Ave, Winnetka, CA 91306",34.20534063636364,-118.5660522121212
"515 E 21st St, Los Angeles, CA 90011",34.02704985185185,-118.2610381111111
"9149 Petit Ave, Northridge, CA 91343",34.23737074721989,-118.49802635425881
"10128 Gladbeck Ave, Northridge, CA 91324",34.253814,-118.53915257142857
"17257 Lassen St, Northridge, CA 91325",34.25039035150123,-118.5099730012007
"18915 Braemore Rd, Porter Ranch, CA 91326",34.2909763,-118.545534770859
"6678 Gross Ave, West Hills, CA 91307",34.191708612244895,-118.64021140816327
"2322 Berkeley Ave, Los Angeles, CA 90026",34.08471211764706,-118.26292935294117
"3756 Dover Pl, Los Angeles, CA 90039",34.122553857142854,-118.26627357142857
"4826 Agnes Ave, Valley Village, CA 91607",34.158147841563284,-118.3952503786988
"8317 Delgany Ave, Playa Del Rey, CA 90293",33.958522,-118.4420086515384
"6707 W 87th Pl, Los Angeles, CA 90045",33.95806865,-118.40702114589111
"467 N Bundy Dr, Los Angeles, CA 90049",34.067830658049175,-118.47616118986066
"1956 E 105th St, Los Angeles, CA 90002",33.9405415,-118.23770437499999
"216 W 52nd Pl, Los Angeles, CA 90037",33.99459550443497,-118.276475343293
"309 Main St, Venice, CA 90291",33.9891636,-118.4719246
"11928 S Central Ave, Los Angeles, CA 90059",33.92442814285714,-118.25422457142857
"1222 W 67th St, Los Angeles, CA 90044",33.978431877551024,-118.29643720408163
"1220 W 25th St, Los Angeles, CA 90007",33.721659136108386,-118.3038916120333
"10330 Haines Canyon Ave, Tujunga, CA 91042",34.25632281818182,-118.27805518181817
"8811 Baring Cross St, Los Angeles, CA 90044",33.957685222222224,-118.28943484848485
"8213 Lullaby Ln, Panorama City, CA 91402",34.219584554417004,-118.44503172276069
"428 E 64th St, Los Angeles, CA 90003",33.98144816107383,-118.26764894630873
"125 E 71st St, Los Angeles, CA 90003",33.975506424242425,-118.27328572727272
"1805 S Leland St, San Pedro, CA 90731",33.72776806122449,-118.30129712244899
"2436 Gramercy Park, Los Angeles, CA 90018",33.9511938,-118.3093275
"22936 Vose St, West Hills, CA 91307",34.197845326816314,-118.62664293096931
"116 1/2 N Sycamore Ave, Los Angeles, CA 90036",34.0811019,-118.3427758
"761 W 10th St, San Pedro, CA 90731",33.735065673469386,-118.2936597755102
"2245 N Berendo St, Los Angeles, CA 90027",34.11138476204157,-118.29455328147615
"12451 Killion St, Valley Village, CA 91607",34.171268469387755,-118.40417175510204
"12615 Westminster Ave, Los Angeles, CA 90066",34.00765627017787,-118.44071556039492
"632 E 75th St, Los Angeles, CA 90001",33.9719856122449,-118.26406567346939
"830 E 73rd St, Los Angeles, CA 90001",33.97379706122449,-118.26006142857143
"1610 E 24th St, Los Angeles, CA 90011",34.01530124390244,-118.24394526829269
"546 N Sierra Bonita Ave, Los Angeles, CA 90036",34.08097979591837,-118.35416187755102
"4186 S Hobart Blvd, Los Angeles, CA 90062",34.00755138775511,-118.30769336734694
"10620 Fernglen Ave, Tujunga, CA 91042",34.261367220424674,-118.2942330848457
"1918 E 105th St, Los Angeles, CA 90002",33.9405455,-118.238578375
"1127 S Victoria Ave, Los Angeles, CA 90019",34.052612918367345,-118.3256178367347
"6615 Makee Ave, Los Angeles, CA 90001",33.979761606060606,-118.24657878787879
"9154 Hayvenhurst Ave, North Hills, CA 91343",34.23668489795919,-118.49368873469388
"9650 S Western Ave, Los Angeles, CA 90047",33.94818536363636,-118.30890725252526
"23321 Vanowen St, Los Angeles, CA 91307",34.193776260467786,-118.63510807525321
"16 Park Ave, Venice, CA 90291",33.9916484375,-118.47670866666667
"19221 Napa St, Northridge, CA 91324",34.22649559183673,-118.55195526530612
"17562 Cantlay St, Van Nuys, CA 91406",34.2021826,-118.4794038
"18113 Hatteras St, Tarzana, CA 91356",34.1764122,-118.5278468
"965 Dewey Ave, Los Angeles, CA 90006",34.053327653061224,-118.2958963877551
"22373 Macfarlane Dr, Woodland Hills, CA 91364",34.16338984168407,-118.61391523538455
"8902 Hargis St, Los Angeles, CA 90034",34.03509734693877,-118.38713212244897
"8065 Nardian Way, Los Angeles, CA 90045",33.963877249999996,-118.41917264268122
"2030 Manning Ave, Los Angeles, CA 90025",34.04944408163265,-118.42831981632654
"3661 S Bentley Ave, Los Angeles, CA 90034",34.016390848484846,-118.41800184848485
"5510 Burnet Ave, Sherman Oaks, CA 91411",34.1555758,-118.4627793
"10526 Ohio Ave, Los Angeles, CA 90024",34.059250625,-118.42992908333333
"12024 Beatrice St, Los Angeles, CA 90230",33.98466900358512,-118.40689445016937
"1077 S Norton Ave, Los Angeles, CA 90019",34.05214946938776,-118.32166418367348
"10716 Moorpark St, Toluca Lake, CA 91602",34.150290020408164,-118.36409316326531
"1217 Elm St, Venice, CA 90291",33.9922978,-118.4487097
"3548 Sabina St, Los Angeles, CA 90023",34.02816585714286,-118.19601075510204
"1946 W 65th Pl, Los Angeles, CA 90047",33.97973081632653,-118.31219502040817
"7012 6th Ave, Los Angeles, CA 90043",33.976059367346934,-118.32348946938775
"6877 Yeager Pl, Los Angeles, CA 90068",34.10951157410674,-118.33974108107634
"153 N Hanford Ave, San Pedro, CA 90732",33.74439581668871,-118.30214062584866
"1723 Rising Glen Rd, Los Angeles, CA 90069",34.10355600782782,-118.3837399361237
"3323 Linda Vista Ter, Los Angeles, CA 90032",34.08407972803894,-118.17267473541136
"5426 Valley Ridge Ave, Los Angeles, CA 90043",33.9924617,-118.34454573018166
"6127 S Harcourt Ave, Los Angeles, CA 90043",33.984154115577894,-118.34077453266332
"311 N Heliotrope Dr, Los Angeles, CA 90004",34.07656026530612,-118.29545922448979
"10209 Ruffner Ave, Granada Hills, CA 91343",34.2701662,-118.4977661
"3836 Oak Hill Ave, Los Angeles, CA 90032",34.090652681558105,-118.18524277469426
"2207 Prospect Ave, Venice, CA 90291",33.99572720408163,-118.45413597959183
"11872 Mariposa Bay Ln, Porter Ranch, CA 91326",34.286713,-118.568385
"4522 St Elmo Dr, Los Angeles, CA 90019",34.041726387755105,-118.33714787755102
"17437 Oak Creek Ct, Encino, CA 91316",34.17012673469388,-118.5134106122449
"4035 Beethoven St, Los Angeles, CA 90066",33.9944604,-118.437612
"9757 White Oak Ave, Northridge, CA 91325",34.24774166666667,-118.519998
"939 N Oxford Ave, Los Angeles, CA 90029",34.08713555102041,-118.30787487755101
"10621 Ohio Ave, Los Angeles, CA 90024",34.057703877497275,-118.43276375867553
